ProdTaken, Age , CityTier, DurationOfPitch, NumberOfPersonVisiting, NumberOfFollowups, PreferredPropertyStar, NumberOfTrips, Passport, PitchSatisfactionScore, OwnCar, NumberOfChildrenVisiting, MonthlyIncome, TypeofContact_ Company Invited, TypeofContact_ Self Enquiry, Occupation_ Large Business, Occupation_ Salaried, Occupation_ Small Business, Gender_ Female, Gender_ Male, ProductPitched_ Deluxe, ProductPitched_ King, ProductPitched_ Standard, ProductPitched_ Super Deluxe, MaritalStatus_ Married, MaritalStatus_ Single, MaritalStatus_ Unmarried, Designation_ Executive, Designation_ Manager, Designation_ Senior Manager, Designation_ VP, IncomePerPerson   , ChildrenRatio
        1, 41.0,        3,             6.0,                      3,               3.0,                   3.0,           1.0,        1,                      2,      1,                      0.0,       20993.0,                              0,                           1,                          0,                    1,                          0,              1,            0,                      1,                    0,                        0,                            0,                      0,                     1,                        0,                      0,                    1,                           0,               0, 20993.0           , 0.0
        0, 49.0,        1,            14.0,                      3,               4.0,                   4.0,           2.0,        0,                      3,      1,                      2.0,       20130.0,                              1,                           0,                          0,                    1,                          0,              0,            1,                      1,                    0,                        0,                            0,                      0,                     0,                        0,                      0,                    1,                           0,               0,  6710.0           , 1.0
        1, 37.0,        1,             8.0,                      3,               4.0,                   3.0,           7.0,        1,                      3,      0,                      0.0,       17090.0,                              0,                           1,                          0,                    0,                          0,              0,            1,                      0,                    0,                        0,                            0,                      0,                     1,                        0,                      1,                    0,                           0,               0, 17090.0           , 0.0
        0, 33.0,        1,             9.0,                      2,               3.0,                   3.0,           2.0,        1,                      5,      1,                      1.0,       17909.0,                              1,                           0,                          0,                    1,                          0,              1,            0,                      0,                    0,                        0,                            0,                      0,                     0,                        0,                      1,                    0,                           0,               0,  8954.5           , 0.5
        0, 36.0,        1,             8.0,                      2,               3.0,                   4.0,           1.0,        0,                      5,      1,                      0.0,       18468.0,                              0,                           1,                          0,                    0,                          1,              0,            1,                      0,                    0,                        0,                            0,                      0,                     0,                        0,                      1,                    0,                           0,               0, 18468.0           , 0.0
        0, 32.0,        1,             8.0,                      3,               3.0,                   3.0,           1.0,        0,                      5,      1,                      1.0,       18068.0,                              1,                           0,                          0,                    1,                          0,              0,            1,                      0,                    0,                        0,                            0,                      0,                     1,                        0,                      1,                    0,                           0,               0,  9034.0           , 1.0
        0, 59.0,        1,             9.0,                      2,               2.0,                   5.0,           5.0,        1,                      2,      1,                      1.0,       17670.0,                              0,                           1,                          0,                    0,                          1,              1,            0,                      0,                    0,                        0,                            0,                      0,                     0,                        0,                      1,                    0,                           0,               0,  8835.0           , 0.2
        0, 30.0,        1,            30.0,                      3,               3.0,                   3.0,           2.0,        0,                      2,      0,                      1.0,       17693.0,                              0,                           1,                          0,                    1,                          0,              0,            1,                      0,                    0,                        0,                            0,                      1,                     0,                        0,                      1,                    0,                           0,               0,  8846.5           , 0.5
        0, 38.0,        1,            29.0,                      2,               4.0,                   3.0,           1.0,        0,                      3,      0,                      0.0,       24526.0,                              1,                           0,                          0,                    1,                          0,              0,            1,                      0,                    0,                        1,                            0,                      0,                     0,                        1,                      0,                    0,                           1,               0, 24526.0           , 0.0
        0, 36.0,        1,            33.0,                      3,               3.0,                   3.0,           7.0,        0,                      3,      1,                      0.0,       20237.0,                              0,                           1,                          0,                    0,                          1,              0,            1,                      1,                    0,                        0,                            0,                      0,                     0,                        0,                      0,                    1,                           0,               0, 20237.0           , 0.0
        0, 35.0,        1,            22.0,                      2,               2.0,                   4.0,           1.0,        0,                      3,      1,                      1.0,       17426.0,                              0,                           1,                          0,                    0,                          1,              0,            1,                      0,                    0,                        0,                            0,                      0,                     0,                        0,                      1,                    0,                           0,               0,  8713.0           , 1.0
        0, 36.0,        1,            21.0,                      2,               4.0,                   3.0,           1.0,        1,                      3,      0,                      0.0,       22347.0,                              0,                           1,                          0,                    1,                          0,              1,            0,                      1,                    0,                        0,                            0,                      0,                     1,                        0,                      0,                    1,                           0,               0, 22347.0           , 0.0
        0, 31.0,        1,            32.0,                      2,               3.0,                   3.0,           2.0,        0,                      3,      0,                      1.0,       17911.0,                              0,                           1,                          0,                    1,                          0,              0,            1,                      0,                    0,                        0,                            0,                      1,                     0,                        0,                      1,                    0,                           0,               0,  8955.5           , 0.5
        0, 34.0,        1,            25.0,                      3,               3.0,                   3.0,           1.0,        0,                      3,      0,                      2.0,       17661.0,                              0,                           1,                          0,                    0,                          1,              0,            1,                      0,                    0,                        0,                            0,                      1,                     0,                        0,                      1,                    0,                           0,               0,  5887.0           , 2.0
        1, 28.0,        1,            30.0,                      2,               4.0,                   3.0,           6.0,        1,                      2,      0,                      0.0,       17028.0,                              0,                           1,                          0,                    1,                          0,              0,            1,                      0,                    0,                        0,                            0,                      0,                     1,                        0,                      1,                    0,                           0,               0, 17028.0           , 0.0
        0, 29.0,        1,            27.0,                      2,               2.0,                   5.0,           2.0,        0,                      5,      1,                      1.0,       24980.0,                              0,                           1,                          0,                    1,                          0,              1,            0,                      0,                    0,                        1,                            0,                      1,                     0,                        0,                      0,                    0,                           1,               0, 12490.0           , 0.5
        0, 32.0,        1,            11.0,                      3,               2.0,                   4.0,           1.0,        1,                      2,      1,                      0.0,       18298.0,                              0,                           1,                          0,                    1,                          0,              0,            1,                      0,                    0,                        0,                            0,                      1,                     0,                        0,                      1,                    0,                           0,               0, 18298.0           , 0.0
        0, 22.0,        1,            22.0,                      3,               2.0,                   3.0,           2.0,        1,                      3,      0,                      0.0,       17935.0,                              1,                           0,                          0,                    0,                          1,              0,            1,                      0,                    0,                        0,                            0,                      1,                     0,                        0,                      1,                    0,                           0,               0, 17935.0           , 0.0
        0, 53.0,        3,             8.0,                      3,               4.0,                   3.0,           3.0,        0,                      3,      1,                      0.0,       30427.0,                              0,                           1,                          0,                    1,                          0,              1,            0,                      0,                    0,                        0,                            1,                      0,                     0,                        0,                      0,                    0,                           0,               0, 30427.0           , 0.0
        0, 36.0,        1,             8.0,                      2,               3.0,                   3.0,           6.0,        1,                      4,      0,                      1.0,       22347.0,                              0,                           1,                          0,                    1,                          0,              0,            1,                      0,                    0,                        0,                            0,                      0,                     1,                        0,                      1,                    0,                           0,               0, 11173.5           , 0.16666666666666666
        0, 36.0,        1,            17.0,                      3,               2.0,                   3.0,           1.0,        0,                      3,      1,                      2.0,       22347.0,                              1,                           0,                          0,                    1,                          0,              1,            0,                      1,                    0,                        0,                            0,                      1,                     0,                        0,                      0,                    1,                           0,               0,  7449.0           , 2.0
        1, 36.0,        3,            15.0,                      2,               4.0,                   5.0,           1.0,        0,                      2,      0,                      0.0,       18407.0,                              0,                           1,                          0,                    1,                          0,              0,            1,                      1,                    0,                        0,                            0,                      0,                     1,                        0,                      0,                    1,                           0,               0, 18407.0           , 0.0
        0, 34.0,        1,            13.0,                      2,               3.0,                   4.0,           1.0,        0,                      3,      1,                      0.0,       26994.0,                              0,                           1,                          0,                    1,                          0,              0,            0,                      0,                    0,                        1,                            0,                      0,                     0,                        1,                      0,                    0,                           1,               0, 26994.0           , 0.0
        0, 21.0,        1,            21.0,                      3,               3.0,                   3.0,           2.0,        0,                      3,      1,                      1.0,       16232.0,                              0,                           1,                          0,                    1,                          0,              0,            1,                      0,                    0,                        0,                            0,                      0,                     1,                        0,                      1,                    0,                           0,               0,  8116.0           , 0.5
        1, 34.0,        1,            12.0,                      2,               3.0,                   5.0,           3.0,        0,                      2,      1,                      1.0,       17960.0,                              0,                           1,                          0,                    0,                          1,              0,            1,                      0,                    0,                        0,                            0,                      0,                     1,                        0,                      1,                    0,                           0,               0,  8980.0           , 0.3333333333333333
        0, 53.0,        1,            11.0,                      2,               3.0,                   3.0,           5.0,        0,                      5,      0,                      1.0,       34094.0,                              0,                           1,                          0,                    1,                          0,              1,            0,                      0,                    1,                        0,                            0,                      1,                     0,                        0,                      0,                    0,                           0,               1, 17047.0           , 0.2
        1, 36.0,        1,            22.0,                      3,               5.0,                   5.0,           2.0,        1,                      4,      1,                      2.0,       22347.0,                              1,                           0,                          0,                    1,                          0,              1,            0,                      0,                    0,                        0,                            0,                      0,                     1,                        0,                      1,                    0,                           0,               0,  7449.0           , 1.0
        0, 42.0,        3,            14.0,                      2,               3.0,                   4.0,           1.0,        0,                      3,      0,                      1.0,       21825.0,                              0,                           1,                          0,                    0,                          1,              0,            1,                      1,                    0,                        0,                            0,                      0,                     0,                        0,                      0,                    1,                           0,               0, 10912.5           , 1.0
